Daily_Attendance_ID,Employee_ID,Attendance_Date,Attendance_Day,Start_Time,End_Time
1,183,03-03-2023,Friday,12:00,16:00
2,183,04-03-2023,Saturday,12:00,16:00
3,183,10-03-2023,Friday,12:00,16:00
4,183,11-03-2023,Saturday,12:00,16:00
5,183,17-03-2023,Friday,12:00,16:00
6,183,18-03-2023,Saturday,12:00,16:00
7,183,24-03-2023,Friday,12:00,16:00
8,183,25-03-2023,Saturday,12:00,16:00
9,183,31-03-2023,Friday,12:00,16:00
10,183,01-04-2023,Saturday,12:00,16:00
11,183,07-04-2023,Friday,12:00,16:00
12,183,08-04-2023,Saturday,12:00,16:00
13,183,14-04-2023,Friday,12:00,16:00
14,183,15-04-2023,Saturday,12:00,16:00
15,183,21-04-2023,Friday,12:00,16:00
16,183,22-04-2023,Saturday,12:00,16:00
17,183,28-04-2023,Friday,12:00,16:00
18,183,29-04-2023,Saturday,12:00,16:00
19,6,03-03-2023,Friday,12:00,16:00
20,6,04-03-2023,Saturday,12:00,16:00
21,6,10-03-2023,Friday,12:00,16:00
22,6,11-03-2023,Saturday,12:00,16:00
23,6,17-03-2023,Friday,12:00,16:00
24,6,18-03-2023,Saturday,12:00,16:00
25,6,24-03-2023,Friday,12:00,16:00
26,6,25-03-2023,Saturday,12:00,16:00
27,6,31-03-2023,Friday,12:00,16:00
28,6,01-04-2023,Saturday,12:00,16:00
29,6,07-04-2023,Friday,12:00,16:00
30,6,08-04-2023,Saturday,12:00,16:00
31,6,14-04-2023,Friday,12:00,16:00
32,6,15-04-2023,Saturday,12:00,16:00
33,6,21-04-2023,Friday,12:00,16:00
34,6,22-04-2023,Saturday,12:00,16:00
35,6,28-04-2023,Friday,12:00,16:00
36,6,29-04-2023,Saturday,12:00,16:00
37,77,03-03-2023,Friday,12:00,16:00
38,77,04-03-2023,Saturday,12:00,16:00
39,77,10-03-2023,Friday,12:00,16:00
40,77,11-03-2023,Saturday,12:00,16:00
41,77,17-03-2023,Friday,12:00,16:00
42,77,18-03-2023,Saturday,12:00,16:00
43,77,24-03-2023,Friday,12:00,16:00
44,77,25-03-2023,Saturday,12:00,16:00
45,77,31-03-2023,Friday,12:00,16:00
46,77,01-04-2023,Saturday,12:00,16:00
47,77,07-04-2023,Friday,12:00,16:00
48,77,08-04-2023,Saturday,12:00,16:00
49,77,14-04-2023,Friday,12:00,16:00
50,77,15-04-2023,Saturday,12:00,16:00
51,77,21-04-2023,Friday,12:00,16:00
52,77,22-04-2023,Saturday,12:00,16:00
53,77,28-04-2023,Friday,12:00,16:00
54,77,29-04-2023,Saturday,12:00,16:00
55,596,03-03-2023,Friday,12:00,16:00
56,596,04-03-2023,Saturday,12:00,16:00
57,596,10-03-2023,Friday,12:00,16:00
58,596,11-03-2023,Saturday,12:00,16:00
59,596,17-03-2023,Friday,12:00,16:00
60,596,18-03-2023,Saturday,12:00,16:00
61,596,24-03-2023,Friday,12:00,16:00
62,596,25-03-2023,Saturday,12:00,16:00
